LIMIT_BAL;SEX;EDUCATION;MARRIAGE;AGE;default.payment.next.month
200000;1;2;2;25;0
20000;;1;2;25;0
60000;2;2;1;44;0
95000;1;2;2;41;0
95000;2;2;2;31;0
230000;1;2;2;34;0
340000;2;1;2;35;0
780000;1;1;1;48;0
50000;1;3;2;27;0
230000;1;2;2;32;0
350000;2;2;2;35;0
200000;1;3;2;52;0
240000;2;1;1;45;0
310000;2;2;1;40;0
150000;2;2;2;44;0
;1;3;2;38;0
105000;2;2;2;33;0
125000;2;2;1;41;0
90000;2;2;2;26;0
170000;1;3;2;41;0
20000;2;3;1;42;0
30000;2;2;1;35;0
250000;2;2;2;44;0
180000;2;2;2;45;0
250000;2;;1;29;0
100000;2;2;1;32;0
;2;2;2;31;0
260000;2;1;2;26;0
115000;2;2;2;26;0
130000;2;2;2;45;0
220000;2;3;1;38;0
10000;2;3;2;43;0
185000;2;2;1;43;0
200000;2;1;1;26;0
200000;2;2;2;36;0
50000;1;1;2;34;0
160000;2;3;1;46;0
330000;1;1;2;42;0
390000;1;2;1;37;0
130000;1;3;2;31;0
60000;2;2;1;27;0
140000;1;1;2;33;0
150000;2;2;2;31;0
220000;2;;1;45;0
50000;1;3;1;45;0
500000;2;2;1;36;0
280000;1;2;1;;0
90000;2;2;2;26;0
30000;2;1;2;28;0
90000;1;2;2;34;0
145000;1;2;1;35;0
430000;1;2;1;41;0
350000;2;2;2;33;0
160000;2;1;1;33;0
80000;1;2;2;31;0
185000;1;2;2;34;0
160000;1;0;1;47;0
50000;1;2;1;39;0
160000;2;2;2;25;0
40000;2;2;2;24;0
95000;2;2;1;34;0
95000;1;2;1;42;0
320000;2;2;1;;0
340000;2;1;2;29;0
155000;1;2;2;40;0
210000;2;3;1;31;0
160000;1;3;2;38;0
80000;2;3;1;29;0
50000;1;3;2;27;0
110000;2;4;1;28;0
50000;2;6;2;33;0
90000;1;1;1;37;0
60000;2;3;1;34;0
215000;2;2;2;27;0
20000;2;2;2;26;0
120000;1;4;1;39;0
320000;2;2;2;28;0
30000;1;3;2;52;0
200000;1;3;1;40;0
150000;2;2;2;29;0
30000;1;2;2;29;0
140000;2;2;2;28;0
235000;2;2;2;41;0
50000;1;2;2;38;0
335000;2;2;1;31;0
280000;1;1;2;28;0
70000;2;2;2;23;0
450000;1;3;1;58;0
45000;2;2;2;25;0
300000;2;2;2;40;0
260000;2;1;2;33;0
120000;2;1;1;42;0
50000;1;3;2;23;0
50000;2;1;2;27;0
30000;2;3;1;47;0
235000;1;3;2;44;0
115000;2;2;2;32;0
85000;2;2;2;30;0
80000;2;3;1;38;0
200000;1;1;1;41;0
240000;2;2;1;45;0
250000;1;2;1;42;0
170000;2;3;1;42;0
205000;1;2;2;28;0
160000;2;1;2;26;0
140000;1;2;1;40;0
200000;1;2;1;38;0
360000;1;1;1;35;0
20000;2;2;1;27;0
170000;2;3;2;29;0
130000;2;1;2;29;0
250000;2;2;1;40;0
320000;2;3;2;35;0
80000;2;3;2;38;0
10000;1;2;2;25;0
245000;1;2;1;37;0
65000;1;2;2;27;0
110000;1;3;1;39;0
210000;2;3;1;36;0
10000;1;3;2;22;0
310000;2;2;1;39;0
200000;2;3;1;44;0
280000;1;2;1;41;0
185000;2;2;1;34;0
210000;2;2;1;35;0
10000;1;2;2;;0
150000;1;1;2;30;0
225000;2;2;1;40;0
225000;2;2;2;44;0
180000;2;2;1;51;0
30000;1;2;1;41;0
30000;2;1;2;26;0
170000;2;3;2;37;0
200000;1;3;2;40;0
175000;2;2;2;36;0
160000;2;1;1;39;0
160000;2;2;1;47;0
205000;1;1;2;26;0
60000;2;2;2;23;0
195000;2;2;2;31;0
70000;1;2;2;44;0
80000;2;3;1;46;0
30000;1;2;2;30;0
160000;1;2;1;39;0
230000;1;1;2;27;0
235000;1;2;2;37;0
195000;2;2;2;38;0
120000;2;1;1;46;0
190000;2;2;2;36;0
105000;1;2;2;37;0
50000;2;2;2;23;0
210000;1;2;2;24;0
250000;2;2;1;31;0
60000;1;1;2;30;0
180000;1;2;2;33;0
80000;1;2;2;26;0
160000;2;2;2;35;0
340000;2;2;;42;0
290000;2;2;2;30;0
200000;1;1;2;26;0
95000;2;2;1;42;0
105000;2;2;1;37;0
20000;2;1;2;22;0
150000;2;1;1;39;0
310000;1;2;1;36;0
80000;1;3;2;66;0
250000;1;2;2;42;0
45000;2;2;1;43;0
80000;1;2;2;42;0
345000;2;2;2;28;0
;2;1;1;30;0
210000;2;2;2;28;0
500000;1;1;1;43;0
160000;1;1;1;41;0
190000;2;2;2;43;0
